opponent,winner,points,Total_points,turns,total_nodes_expanded,total_search_depth,total_running_time,total_max_ram_usage
weights_4,weights_4,30,63,29,36.55,1.45,1.02,0.54
greedy,weights_5,55,56,29,42.69,1.28,1.02,0.57
minimax_base,weights_5,33,63,30,35.00,1.47,1.02,0.53
weights_6,weights_5,45,63,30,41.90,1.33,1.02,0.53
bad_player,weights_5,36,63,30,35.90,1.27,1.02,0.52
random,weights_5,46,62,30,39.67,1.10,1.03,0.54
weights_1,weights_5,33,63,30,39.10,1.23,1.02,0.58
weights_2,weights_2,10,64,30,37.50,1.50,1.02,0.58
heuristic_1,heuristic_1,22,64,30,40.50,1.27,1.02,0.51
weights_3,weights_3,28,61,27,47.52,1.44,1.02,0.56
heuristic_3,weights_5,45,64,30,40.87,1.43,1.02,0.59
heuristic_2,heuristic_2,19,62,28,38.61,2.07,1.01,0.55
heuristic_4,weights_5,49,63,30,36.17,1.23,1.02,0.53
heuristic_5,heuristic_5,12,59,25,39.28,1.48,1.02,0.55
time_3,weights_5,44,64,30,44.20,1.50,1.02,0.51
time_10,time_10,28,64,30,56.10,1.77,1.02,0.71
Deybby,weights_5,36,64,30,140.80,2.03,1.01,1.20
weights_7,weights_7,31,64,30,46.80,1.43,1.01,0.58
