opponent,winner,points,Total_points,turns,total_nodes_expanded,total_search_depth,total_running_time,total_max_ram_usage
weights_1,heuristic_3,46,64,30,38.33,1.27,1.01,0.52
weights_2,weights_2,12,64,30,35.10,1.37,1.02,0.55
heuristic_1,heuristic_1,19,64,30,39.97,1.27,1.01,0.53
heuristic_2,heuristic_2,19,62,28,33.36,1.29,1.02,0.58
heuristic_4,heuristic_3,32,60,30,36.03,1.30,1.01,0.51
heuristic_5,heuristic_3,37,63,30,36.37,1.23,1.02,0.49
minimax_base,heuristic_3,33,64,30,27.37,0.93,1.02,0.49
greedy,heuristic_3,42,62,30,38.30,1.17,1.02,0.51
random,heuristic_3,37,63,30,39.67,1.27,1.02,0.53
bad_player,heuristic_3,34,63,30,39.40,1.17,1.02,0.55
time_3,time_3,12,64,30,36.70,1.07,1.02,0.55
time_10,time_10,31,64,30,42.63,1.33,1.02,0.58
weights_3,weights_3,13,64,30,38.60,1.60,1.02,0.61
weights_4,heuristic_3,37,64,30,35.20,1.47,1.01,0.54
weights_5,weights_5,19,64,30,40.60,1.27,1.02,0.56
weights_6,heuristic_3,40,63,30,39.30,1.53,1.02,0.56
Deybby,heuristic_3,37,64,30,155.60,2.63,1.00,1.21
weights_7,weights_7,11,64,30,50.60,1.73,1.01,0.66
