opponent,winner,points,Total_points,turns,total_nodes_expanded,total_search_depth,total_running_time,total_max_ram_usage
random,weights_4,38,62,30,42.87,1.37,1.02,0.54
greedy,weights_4,35,64,30,45.30,1.37,1.02,0.57
weights_1,weights_1,24,64,30,41.43,1.30,1.03,0.62
weights_2,weights_4,31,61,30,30.03,1.13,1.02,0.56
heuristic_1,weights_4,50,64,30,42.53,1.17,1.02,0.52
minimax_base,minimax_base,17,64,30,40.60,1.57,1.02,0.60
weights_6,weights_6,7,59,25,45.76,1.64,1.02,0.58
bad_player,bad_player,10,64,30,42.67,1.33,1.02,0.53
weights_3,weights_4,39,64,30,36.70,1.47,1.02,0.53
weights_5,weights_4,33,63,30,38.20,1.60,1.01,0.53
heuristic_2,heuristic_2,12,61,27,41.78,1.93,1.01,0.59
heuristic_3,heuristic_3,27,64,30,44.60,1.90,1.02,0.58
heuristic_5,heuristic_5,23,64,30,38.60,1.20,1.02,0.58
heuristic_4,weights_4,45,64,30,40.43,1.10,1.02,0.59
time_3,time_3,19,63,29,36.31,1.76,1.02,0.51
time_10,time_10,27,64,30,39.43,1.83,1.02,0.59
Deybby,weights_4,39,59,30,167.30,2.20,1.01,1.18
weights_7,weights_7,30,64,30,43.53,1.40,1.02,0.54
