player 1,player 2,winner,winner points,Total_points,depth
"{'apertura': {'corner': 0.411, 'mob': 0.8625, 'stable': 0.8312, 'parity': 0.4269, 'pos': 0.4101}, 'medio': {'corner': 0.3682, 'mob': 0.452, 'stable': 0.2668, 'parity': 0.358, 'pos': 0.2197}, 'final': {'corner': 0.1163, 'mob': 0.4188, 'stable': 0.5517, 'parity': 0.9807, 'pos': 0.2853}}",minimax,minimax,38,64,60
"{'apertura': {'corner': 0.1876, 'mob': 0.0796, 'stable': 0.754, 'parity': 0.9399, 'pos': 0.3343}, 'medio': {'corner': 0.7314, 'mob': 0.8478, 'stable': 0.4816, 'parity': 0.7979, 'pos': 0.719}, 'final': {'corner': 0.4469, 'mob': 0.4444, 'stable': 0.2736, 'parity': 0.4965, 'pos': 0.0084}}",minimax,minimax,37,64,63
"{'apertura': {'corner': 0.2828, 'mob': 0.2576, 'stable': 0.3303, 'parity': 0.7605, 'pos': 0.1149}, 'medio': {'corner': 0.827, 'mob': 0.7164, 'stable': 0.1422, 'parity': 0.7164, 'pos': 0.054}, 'final': {'corner': 0.3427, 'mob': 0.5804, 'stable': 0.4853, 'parity': 0.4909, 'pos': 0.4055}}",minimax,minimax,50,64,60
"{'apertura': {'corner': 0.9201, 'mob': 0.4212, 'stable': 0.8909, 'parity': 0.0748, 'pos': 0.7016}, 'medio': {'corner': 0.7925, 'mob': 0.3844, 'stable': 0.2203, 'parity': 0.8392, 'pos': 0.0818}, 'final': {'corner': 0.968, 'mob': 0.211, 'stable': 0.625, 'parity': 0.733, 'pos': 0.6454}}",minimax,"{'apertura': {'corner': 0.9201, 'mob': 0.4212, 'stable': 0.8909, 'parity': 0.0748, 'pos': 0.7016}, 'medio': {'corner': 0.7925, 'mob': 0.3844, 'stable': 0.2203, 'parity': 0.8392, 'pos': 0.0818}, 'final': {'corner': 0.968, 'mob': 0.211, 'stable': 0.625, 'parity': 0.733, 'pos': 0.6454}}",35,64,60
"{'apertura': {'corner': 0.5643, 'mob': 0.8981, 'stable': 0.2607, 'parity': 0.463, 'pos': 0.6098}, 'medio': {'corner': 0.7928, 'mob': 0.0446, 'stable': 0.9117, 'parity': 0.3376, 'pos': 0.2523}, 'final': {'corner': 0.9927, 'mob': 0.7212, 'stable': 0.1895, 'parity': 0.6507, 'pos': 0.9267}}",minimax,minimax,47,64,60
"{'apertura': {'corner': 0.4777, 'mob': 0.4223, 'stable': 0.7605, 'parity': 0.1012, 'pos': 0.9712}, 'medio': {'corner': 0.9442, 'mob': 0.3421, 'stable': 0.7304, 'parity': 0.3253, 'pos': 0.7957}, 'final': {'corner': 0.0276, 'mob': 0.5485, 'stable': 0.3063, 'parity': 0.1678, 'pos': 0.9407}}",minimax,"{'apertura': {'corner': 0.4777, 'mob': 0.4223, 'stable': 0.7605, 'parity': 0.1012, 'pos': 0.9712}, 'medio': {'corner': 0.9442, 'mob': 0.3421, 'stable': 0.7304, 'parity': 0.3253, 'pos': 0.7957}, 'final': {'corner': 0.0276, 'mob': 0.5485, 'stable': 0.3063, 'parity': 0.1678, 'pos': 0.9407}}",44,64,60
"{'apertura': {'corner': 0.0816, 'mob': 0.0637, 'stable': 0.9981, 'parity': 0.7147, 'pos': 0.7084}, 'medio': {'corner': 0.3346, 'mob': 0.0445, 'stable': 0.3119, 'parity': 0.9438, 'pos': 0.8513}, 'final': {'corner': 0.0783, 'mob': 0.5402, 'stable': 0.7783, 'parity': 0.7402, 'pos': 0.1742}}",minimax,minimax,50,56,61
"{'apertura': {'corner': 0.6765, 'mob': 0.84, 'stable': 0.364, 'parity': 0.4296, 'pos': 0.7734}, 'medio': {'corner': 0.4121, 'mob': 0.3071, 'stable': 0.4662, 'parity': 0.3209, 'pos': 0.625}, 'final': {'corner': 0.6692, 'mob': 0.7881, 'stable': 0.4281, 'parity': 0.7703, 'pos': 0.9244}}",minimax,minimax,43,56,60
"{'apertura': {'corner': 0.2415, 'mob': 0.2232, 'stable': 0.9888, 'parity': 0.5301, 'pos': 0.3833}, 'medio': {'corner': 0.2029, 'mob': 0.5431, 'stable': 0.7601, 'parity': 0.6487, 'pos': 0.7425}, 'final': {'corner': 0.1831, 'mob': 0.7955, 'stable': 0.6468, 'parity': 0.8018, 'pos': 0.8007}}",minimax,minimax,49,60,62
"{'apertura': {'corner': 0.2547, 'mob': 0.1365, 'stable': 0.2016, 'parity': 0.947, 'pos': 0.7514}, 'medio': {'corner': 0.854, 'mob': 0.6418, 'stable': 0.6556, 'parity': 0.9931, 'pos': 0.4318}, 'final': {'corner': 0.8245, 'mob': 0.105, 'stable': 0.9639, 'parity': 0.9272, 'pos': 0.0077}}",minimax,minimax,41,61,63
