opponent,winner,points,Total_points,turns,total_nodes_expanded,total_search_depth,total_running_time,total_max_ram_usage
random,weights_3,47,64,30,45.03,1.27,1.02,0.60
greedy,weights_3,50,62,30,41.37,1.63,1.02,0.60
bad_player,weights_3,48,52,26,50.69,1.62,1.02,0.57
heuristic_4,heuristic_4,31,63,30,40.83,1.17,1.02,0.57
heuristic_1,weights_3,53,61,30,46.80,1.50,1.02,0.55
weights_1,weights_1,13,64,30,47.13,1.33,1.02,0.58
heuristic_2,heuristic_2,27,64,30,44.03,1.70,1.01,0.61
heuristic_3,weights_3,51,64,30,43.47,1.60,1.02,0.56
weights_2,weights_3,53,61,30,46.40,1.60,1.02,0.59
minimax_base,weights_3,49,63,30,45.00,1.53,1.01,0.58
heuristic_5,heuristic_5,29,64,30,66.47,1.60,1.01,0.75
time_3,time_3,9,60,26,82.81,2.19,1.01,0.84
time_10,time_10,1,61,27,59.52,4.52,1.01,1.25
weights_4,weights_4,25,64,30,36.60,1.43,1.02,0.55
weights_5,weights_3,33,61,30,46.53,1.23,1.02,0.55
weights_6,weights_6,27,64,30,37.93,1.10,1.03,0.52
Deybby,Deybby,14,64,30,105.47,1.97,1.01,1.08
weights_7,weights_7,10,64,30,36.70,1.50,1.02,0.64
