opponent,winner,points,Total_points,turns,total_nodes_expanded,total_search_depth,total_running_time,total_max_ram_usage
weights_4,weights_6,52,59,30,41.90,1.40,1.02,0.56
weights_5,weights_5,18,63,29,39.93,1.41,1.02,0.57
greedy,weights_6,44,64,30,43.57,1.23,1.02,0.57
random,weights_6,50,64,30,33.40,1.20,1.02,0.51
minimax_base,,32,64,30,36.83,1.13,1.03,0.59
weights_1,weights_1,15,64,30,33.60,1.10,1.03,0.58
weights_2,weights_2,30,63,30,40.93,1.27,1.02,0.49
bad_player,weights_6,43,64,30,35.60,1.03,1.02,0.50
weights_3,weights_6,37,64,30,35.20,1.07,1.02,0.54
heuristic_1,weights_6,38,63,30,32.83,1.03,1.02,0.50
heuristic_3,heuristic_3,23,63,29,32.52,1.86,1.02,0.57
heuristic_2,weights_6,41,63,30,36.37,1.77,1.02,0.54
heuristic_4,weights_6,35,61,30,44.33,1.27,1.01,0.60
heuristic_5,weights_6,38,64,30,42.43,1.03,1.02,0.67
time_3,time_3,0,52,19,51.47,3.47,1.01,0.66
time_10,time_10,14,64,30,85.30,1.97,1.01,0.91
Deybby,weights_6,34,62,30,154.60,2.33,1.00,1.17
weights_7,weights_7,24,64,30,48.33,1.47,1.01,0.59
