opponent,winner,points,Total_points,turns,total_nodes_expanded,total_search_depth,total_running_time,total_max_ram_usage
weights_1,heuristic_2,45,62,30,40.87,1.33,1.02,0.51
weights_2,weights_2,4,62,28,37.04,1.57,1.02,0.57
heuristic_1,heuristic_1,31,64,30,38.40,1.27,1.02,0.53
heuristic_3,heuristic_2,43,62,30,30.30,1.03,1.02,0.55
heuristic_4,heuristic_2,45,64,30,34.27,1.20,1.02,0.51
heuristic_5,heuristic_2,33,64,30,35.63,1.27,1.02,0.53
greedy,heuristic_2,58,61,30,30.53,1.10,1.02,0.53
random,heuristic_2,44,63,30,31.83,1.03,1.03,0.48
minimax_base,heuristic_2,42,63,30,26.80,0.93,1.02,0.52
time_3,time_3,22,63,30,35.33,1.00,1.02,0.53
bad_player,heuristic_2,40,64,30,36.67,1.13,1.03,0.51
time_10,heuristic_2,33,64,30,30.83,1.23,1.02,0.52
weights_3,heuristic_2,37,64,30,43.13,1.60,1.02,0.58
weights_4,heuristic_2,49,61,30,43.20,1.53,1.02,0.55
weights_5,heuristic_2,43,62,30,40.67,1.47,1.02,0.55
weights_6,weights_6,22,63,29,37.00,2.24,1.02,0.54
Deybby,heuristic_2,37,64,30,178.27,2.37,1.01,1.19
weights_7,heuristic_2,43,63,30,41.30,1.50,1.02,0.62
